hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
Giovanni Andrea Murro,male,mercantes,,,Elena,Russian,female,31,,Gregorio Cassana,male,mercantes,,,3,50,,,,,16.66,1470,1470-07-13
Marco Verrina,male,artefices,seatarius,,Margherita,Russian,female,32,,Cipriano Spinola,male,nobiles,,,3,50,,,,y,16.66,1471,1471-12-18
Francesco de Passagio,male,artefices,peliparius,,Lucia,Greek,female,47,,Luchina Spinola,female,nobiles,,,4,70,,,,,17.5,1497,1497
Maria de Mari,female,nobiles,,,Maddalena,,female,,,Federico Centurione,male,nobiles,,,4,70,,,,y,17.5,1457,1457-12-19
Bartolomeo de Vulturo,male,artefices,remolarius,Voltri,Maddalena,Circassian,female,20,,Raffaele Torre,male,artefices,,,3,55,,,,y,18.33,1393,1393-01-07
Gaspare de Marini,male,nobiles,,,Caterina,Circassian,female,40,,Paolo Gentile,male,nobiles,doctor arte et medicine,,3,55,,,,,18.33,1486,1486
Andrea Vivaldi,male,nobiles,,,Caterina,Abkhazan,female,25,,Cosmo Salvago,male,nobiles,,,3,60,,,,y,20,1435,1435-09-17
Bartolomeo Cattaneo,male,nobiles,,,Eliana,Tartaran,female,20,,Battista de Bargalio,male,artefices,,Bargagli,2,40,,,,y,20,1427,1427
Battista Cattaneo,male,nobiles,,,Caterina,Russian,female,20,,Antonio Carrega,male,artefices,,,1,20,,,,,20,1472,1472
Battista de Bargalio,male,artefices,calzolarius,Bargagli,Eliana,Tartaran,female,20,,Francesco Salvago,male,nobiles,,,2,40,,,,y,20,1427,1427-07-07
Bernardo Dala,male,foreign,legum doctor,Barcelona,Agnese,Circassian,female,22,,Francesco Giustiniani,male,mercantes,,,2,40,,,,y,20,1450,1450-06-15
Domenico Lercari,male,nobiles,,,Catalina,,female,,,Girolamo Fieschi,male,mercantes,,,3,60,,,,y,20,1415,1415-10-08
Egidio Sacherio,male,artefices,notarius,,Lucia,Tartaran,female,30,,Giovanni de Sancto Salvatore,male,artefices,seatarius,,1,20,,,,y,20,1460,1460-07-04
Federico Centurione,male,nobiles,,,Caterina,Circassian,female,22,,Bartolomeo de Ripalta,male,artefices,,,2,40,,,,,20,1458,1458-02-04
Giacomo de Arquata,male,artefices,cordonerius,Arquata,Caterina,Lazian,female,34,,Antonio de Franchi,male,mercantes,,,3,60,,,,y,20,1470,1470-12-20
Giacomo de Sancto Salvatore,male,artefices,,,Lucia,,female,,,Pietro de Pluma,male,artefices,formagarius,,3,60,,,,y,20,1425,1425-04-24
Giovanni de Davania,male,artefices,formagarius,Davagna,Marta,Russian,female,28,,Pietro Grosso,male,artefices,notarius,,5,100,,,,,20,1451,1451
Girolamo de Rapallo,male,mercantes,,,Maria,Russian,female,,,Antonio de Sementia,male,artefices,faber,,3,60,,,,y,20,1447,1447-08-11
Lodisio de Rocheta,male,artefices,,,Margherita,Circassian,female,27,,Girolamo Doria,male,nobiles,,,2,40,,,,y,20,1459,1459-04-18
Luchina Bonicane,female,artefices,,,Maria,Tartaran,female,27,,Girolamo de Sancto Blaxio,male,mercantes,,,3,60,,,,y,20,1435,1435-03-04
Pellegro Salvago,male,nobiles,,,Lucia,Bosnian,female,24,,Bernardo de Luca,male,artefices,,,6,120,,,,,20,1486,1486-10-15
Pietro de Camera,male,artefices,calzolarius,,Melica,Hungarian,female,38,,Giovanni Francesco Spinola,male,nobiles,,,3,60,,,,y,20,1456,1456-10-19
Pietro Facori,male,mercantes,,,Anna,,female,24,,Tommaso de Roma,male,artefices,magister scholarum,Rome,3,60,,,,y,20,1427,1427-04-03
Tobia Lazario,male,mercantes,,,Margarita,Abkhazan,female,32,,Constantino de Marini,male,nobiles,,,3,60,,,,y,20,1462,1462-03-10
Viceto de Carmagnola,male,artefices,filator septe,,Catalina,Circassian,female,24,,Tobia Pinelli,male,nobiles,,,3,60,,,,y,20,,1459-11-08
"Violante, the wife of Giovanni de Valencia",female,foreign,,Valencia,Margarita,,female,,,Giovanni Boecio,male,,,,3,60,,,,y,20,1433,1433-04-29
Giovanni Costa,male,artefices,,,Maria,,female,25,,Luciano Grimaldi,male,nobiles,,,2,50,,,,y,25,1426,1426-05-29
Accellino Vivaldi,male,nobiles,,,Melica,Tartaran,female,34,,Salvago Vivaldi,male,nobiles,,,2,,,,4,,,1470,1470-03-05
Antonietta Bobello,female,artefices,,Varazze,Lucia,Circassian,female,38,,Girolamo Calvi,male,nobiles,,,13,,,,3,,,1473,1473-02-21
Antonio Dando,male,artefices,,,Pellegrina,Moorish,female,18,,Pietro Soler,male,foreign,,Barcelona,8,,20,,,,,1497,1497
Bartolomeo Centurione,male,nobiles,,,Elena,,female,8,,Isabella Spinola,female,nobiles,,,26,,25,,,,,1483,1483-04-26
Bartolomeo de Podio,male,artefices,,,Maddalena,,female,,,Lorenzo Griffo,male,foreign,,Pisa,2,,,,,y,,1420,1420-02-21
Battista de Sancto Nazario,male,artefices,,,,,female,,,Bernardo de Capriata,male,artefices,,Capriata d'Orba,,,,,,y,,1440,1440-06-03
Francesco Borromeo,male,foreign,,San Miniato,Cita,Tartaran,female,,,Beltrame Forbino,male,foreign,,Marseille,6,,,,,,,1413,1413
Francesco Foglietta,male,artefices,,,Erena,Bulgarian,female,,,Margarita de Castro,female,artefices,,,,,,,,,,1420,1420-03-07
Giorgio,male,,,,Caterina,Circassian,female,18,,Raffaele,male,,,,3,,,,,y,,1454,1454-02-12
Giovanni de Mulassana,male,artefices,calzolarius,Molassana,Lucia,Tartaran,female,,,Gabriele Biscotto,male,artefices,corrigiarius,,,40,,,,y,,1437,1437-05-13
Giovanni de Natino,male,artefices,,,Elena,Bosnian,female,26,,Girolamo Vento,male,nobiles,,,18,,70,,,,,1468,1468-10-14
Gregorio Castagnola,male,nobiles,,,Melica,Circassian,female,40,,Daniele Spinola,male,nobiles,,,12,,30,,,,,1492,1492
Guglielmo Maida,male,artefices,textor pannorum septe,,Maddalena,,female,28,,Benedetto de Franchi,male,mercantes,,,9,a quantity of pine wood.,,,,,,1487,1487
Inoffio Sauli,male,mercantes,,,Anastasia,Bulgarian,female,16,,Giovanni Antonio Spinola,male,nobiles,,,8,,65,,,,,1463,1463-02-10
Niccolò Barbaro,male,foreign,,Venice,Scaramuccia,Circassian,female,24,,Francesco de Gradi,male,mercantes,,,2,,17.5,,,,,1465,1465-07-09
Niccolò Barbaro,male,foreign,,Venice,Scaramuccia,Circassian,female,24,,Pellegro de Gradi,male,mercantes,,,2,,17.5,,,,,1465,1465-07-09
Ottaviano Imperiale,male,nobiles,,,Caterina,,female,32,,Battista Piccamiglio,male,nobiles,,,16,,,,,,,1481,1481
Ottaviano Imperiale,male,nobiles,,,Caterina,,female,32,,Giovanni Piccamiglio,male,nobiles,,,16,,,,,,,1481,1481
Ottobono Imperiale,male,nobiles,,,Lucia,,female,30,,Niccolò Ittaliano,male,nobiles,,,,100,,,,,,1429,1429
Pellegro Salvago,male,nobiles,,,Maria,Moorish,female,,,Domenico de Serranano,male,,,,10,,50,,,,,1494,1494
Taddeo de Marini,male,nobiles,,,Maddalena,Circassian,female,,,Lodisio de Castiliono,male,mercantes,,Castiglione,,100,,,,,,1463,1463-03-14
