hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
Bartolomeo de Valenza,male,foreign,imponerius,Valencia,Maddalena,Circassian,female,36,,Tommaso de Roma,male,artefices,magister scholarum,Rome,6,48,,,,,8,1423,1423
Giacomo de Passano,male,nobiles,,,Lucia,Greek,female,30,,Antonio de Boianis,male,ecclesiastical,prete,,10,80,,,,,8,1449,1449
Nicolosia de Loparaso,female,artefices,,Corsica,Maria,Russian,female,32,,Battista Stella,male,artefices,notarius,,10,80,,,,,8,1457,1457-11-09
Ottobono Balbi,male,artefices,draperius,,Marta,Tartaran,female,38,,Francesco Caito,male,artefices,,,6,48,,,,,8,1423,1423
Maria Spinola,female,nobiles,,,Anna,Wallachian,female,30,,Raimondo Aimari,male,mercantes,,,3,25,,,,,8.3,1447,1447-09-05
Paolo Grillo,male,nobiles,seatarius,,Margherita,Russian,female,25,,Antonio de Maddalena,male,artefices,cartarius,,3,25,,,,,8.3,1449,1449
Ambrogio Zerbino,male,artefices,,,Maria,Moorish,female,24,,Bernardo Bullo,male,mercantes,,,12,100,,,,,8.33,1491,1491
Antonio de Nove,male,artefices,doctor artium et medicine,Novi Ligure,Margherita,Greek,female,18,,Soldano Cattaneo,male,nobiles,,,12,100,,,,,8.33,1459,1459-06-21
Costantino Doria,male,nobiles,,,Caterina,Moorish,female,30,,Giacomo de Domoculta,male,artefices,,,12,100,,,,,8.33,1491,1491
Francesco de Padino,male,artefices,,,Marta,Abkhazan,female,32,,Giovanni Doria,male,nobiles,,,12,100,,,,,8.33,1492,1492
Giacomo Spinola,male,nobiles,,,Anna,Bosnian,female,26,,Battista Sofia,male,mercantes,,,12,100,,,,,8.33,1485,1485-09-03
Giovanni de Stachino,male,artefices,,Mongelia,Melica,Hungarian,female,30,,Ambrogio Carrega,male,artefices,,,15,125,,,,,8.33,1474,1474-03-19
Illario Grillo,male,nobiles,,,Maria,Abkhazan,female,35,,Niccolò de Fornari,male,mercantes,,,12,100,,,,,8.33,1452,1452-12-22
Simone Calvi,male,nobiles,,,Caterina,Abkhazan,female,35,,Guglielmo Lenza,male,artefices,barberius,,12,100,,,,,8.33,1444,1444
Simone Lercari,male,nobiles,,,Margherita,Bulgarian,female,35,,Battista Pasagio,male,artefices,seatarius,,12,100,,,,,8.33,1487,1487-01-09
Stregino Salvago,male,nobiles,,,Lucia,Circassian,female,22,,Giovanni de Alexandria,male,artefices,notarius,Alessandria,6,50,,,,y,8.33,1416,1416-06-23
Tommaso Merello,male,artefices,cultelerius,,Maria,Bulgarian,female,25,,Alegrino Gatto,male,artefices,stagnarius,,6,50,,,,,8.33,1459,1459-10-30
Paolo Giusto,male,artefices,calzolarius,,Brigida,Circassian,female,24,,Filippo Ihauroye,male,,,,7,60,,,,,8.57,1458,1458-02-17
Brigida Spinola,female,nobiles,,,Anna,Moorish,female,30,,Benedetto de Via,male,artefices,seatarius,,15,130,,,,,8.67,1481,1481-07-04
Marietta Scotto,female,nobiles,,,Maddalena,Abkhazan,female,26,,Giovanni Spinola,male,nobiles,,,15,130,,,,,8.67,1437,1437
Simone Lercari,male,nobiles,,,Maddalena,,female,,,Galeotto Salvago,male,nobiles,,,15,130,,,,,8.67,1485,1485
Soldano Cattaneo,male,nobiles,,,Margherita,Greek,female,25,,Raffaele de Marco,male,artefices,,,11,96,,,,,8.73,1460,1460-12-22
Franchetta Doria,female,nobiles,,,Maddalena,Russian,female,32,,Oberto Foglietta,male,artefices,notarius,,13,114.25,,,,,8.79,1470,1470
