sourceID,sourceName,edgeName,targetID,targetName,
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,79457c21-b9f0-4a66-9612-2946a68ca4d9,"Antonio Fazio, filza 14, series I, nr. 282",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,73899934-cb7e-481e-8082-845e5cae057b,"Antonio Fazio, filza 18, series II, nr. 10",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,72393330-a5a9-4b57-8858-966d4228aca4,"Antonio Fazio, filza 2, nr. 280",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,6615bdd7-9f18-4fd9-a4ab-99121f22e6ce,"Antonio Fazio, filza 16, series II, nr. 181",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,63ce3a0a-00e8-465e-a6d5-24dc42b736a4,"Antonio Fazio, filza 13, nr. 260",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,5b03a5fe-8a79-49d9-98ea-2d7ac010b7eb,"Antonio Fazio, filza 20, series II, nr. 119",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,5758c9e5-daba-4993-9178-52f410261215,"Antonio Fazio, filza 7, nr. 104",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,5666d091-c0c5-4aeb-8f6c-c719194b496d,"Antonio Fazio, filza 17, nr. ---",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,56618244-c53c-46cc-bd40-b35d0b50ffd6,"Antonio Fazio, filza 2, nr. 4",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,5346018d-7143-4fcb-92fe-344bcbab44b3,"Antonio Fazio, filza 14, series II, nr. 220",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,53443fa4-7953-429c-bf44-6e0475a50cf9,"Antonio Fazio, filza 1, nr. 285",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,4c03ed6d-e605-44cb-a072-82f121fd6629,"Antonio Fazio, filza 15, nr. 302",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,4152235f-0ca2-45d4-a6d7-4c7810022767,"Antonio Fazio, filza 7, nr. 283",
