sourceID,sourceType,edgeName,targetID,targetName,edgeAttributes
6c53bc3c-0375-49d5-b50c-55d4ff7b59cb,sale,—SELLER—>,9d95e6f7-1d6b-4750-8f97-c773c23530c8,Antonio de Dallo,
6c53bc3c-0375-49d5-b50c-55d4ff7b59cb,sale,—ITEM—>,4102608c-786e-474e-aae9-88b8c8385f2c,Cita —,
6c53bc3c-0375-49d5-b50c-55d4ff7b59cb,sale,—BUYER—>,b167b2a6-43ef-452a-ba0c-f70ed716ada8,Matteo —,
6c53bc3c-0375-49d5-b50c-55d4ff7b59cb,sale,—WITNESS—>,b1e6c281-4dba-4091-a5e4-a487ec882748,Battista Carleto,
6c53bc3c-0375-49d5-b50c-55d4ff7b59cb,sale,—WITNESS—>,e4632609-64cd-4555-8ca8-1f0d54ec9676,Giovanni de Delfino da Passano,
6c53bc3c-0375-49d5-b50c-55d4ff7b59cb,sale,—AT_PLACE—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,
,,,,,
402f3431-53b9-4e35-9143-3ade195c8b41,sale,—SOURCE—>,6cd58a83-e6bb-4d19-a373-4d869289e582,"Andrea de Cairo, filza 4, nr. 163",
402f3431-53b9-4e35-9143-3ade195c8b41,sale,—SELLER—>,356cfe52-2abf-4ae9-a01a-878ff9945a29,Gottardo Stella,
402f3431-53b9-4e35-9143-3ade195c8b41,sale,—ITEM—>,f2a83931-a87b-4195-bb96-68662b02f072,Anna —,
402f3431-53b9-4e35-9143-3ade195c8b41,sale,—BUYER—>,eb95753d-35c6-4ee5-b655-b463f0ecf58e,Giorgio Veglio,
402f3431-53b9-4e35-9143-3ade195c8b41,sale,—AT_PLACE—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,
