Omeka ID,cidoc-crm:P149_is_identified_by,name_pedigree,name_source,edgeName,cidoc-crm:P152_has_parent,UUID-target,name_target
25039,591bbbce-0063-4d76-9313-4cd06fafcabd,Pometta Lomellini q. Giacomo,Pometta Lomellini,—hasFather—>,24429,228bbbf9-cdf4-4cc1-9bf6-c8e857c4c017,Giacomo Lomellini
25771,43c16887-63e0-42d2-ad06-ba7c79a140af,Pometta Spinola q. Cattaneo,Pometta Spinola,—hasFather—>,25638,b58517af-2589-4398-9c87-d49da12c8a2d,Cattaneo Spinola
25800,67cb5038-2c79-4167-b1a6-0d23bc315cd5,Pometta Stella q. Lodisio,Pometta Stella,—hasFather—>,25798,ef5fe359-bf32-44c4-82a3-181beb411f3b,Lodisio Stella
25041,350ac32e-8b9a-41bb-b8d5-59d5e31ddd00,Porzia Lomellini q. Gaspare,Porzia Lomellini,—hasFather—>,24388,c709cb8a-ab79-4d8e-a79f-f0f7a54abb17,Gaspare Lomellini
25040,4373b208-74b4-4085-be68-e10b2e3c5be9,Porzia Lomellini q. Nicolosio,Porzia Lomellini,—hasFather—>,24908,4215c9ee-97e1-42bf-9111-5d061ce64770,Nicolosio Lomellini
23716,243792ab-5108-4d50-9dfd-0d3a2223c956,Preziosa de Gualtieri q. Lodisio de,Preziosa de Gualtieri,—hasFather—>,23715,be8255bd-4f52-4958-b093-8f448cb29413,Lodisio de Gualtieri
25273,4615ad33-b890-4269-a63a-030d8dfb6c13,Priano de Mari q. Pietro de,Priano de Mari,—hasFather—>,25271,7a263db0-7fc2-44cb-a38a-78f4045fadca,Pietro de Mari
23083,c9d11660-9fc8-4c28-b1b8-d4613650f36f,Primafore de Benamà q. Allegro de,Primafore de Benamà,—hasFather—>,23082,9ce1301a-a286-4124-a7da-3214476deb06,Allegro de Benamà
25043,ae7b4645-3c3b-4005-adaf-07c957e03bbb,Prospero Lomellini q. Giacomo,Prospero Lomellini,—hasFather—>,24421,8153b173-e170-4073-858d-6bff489e96bb,Giacomo Lomellini
25042,701ad271-951f-4d59-8f8a-63fba1881cce,Prospero Lomellini q. Giorgio,Prospero Lomellini,—hasFather—>,24455,2293a4b3-3735-400c-b1d7-7ccb4bd1404e,Giorgio Lomellini
23583,7d947aa2-4ce9-4fca-9dea-7d9cff5de4f1,Quilico Gentile Avogario q. Benedetto,Quilico Gentile Avogario,—hasFather—>,23538,3f4fb87b-0f95-4332-901b-70350822837f,Benedetto Gentile Avogario
23228,9ca23542-7f45-47a9-af71-835d3864af34,Raffaele Cattaneo de Volta q. Quilico,Raffaele Cattaneo de Volta,—hasFather—>,23227,ad413437-b6bf-49c4-b5d4-b5c1060142be,Quilico Cattaneo de Volta
23853,643dd693-86cb-4627-8871-8bf960a02c47,Raffaele Lercari q. Seguarano,Raffaele Lercari,—hasFather—>,23854,61939046-208e-4bf6-a9ea-d70c9e68685a,Seguarano Lercari
25048,14ace344-9626-40f3-ab2f-6b420b572f5a,Raffaele Lomellini q. Battista,Raffaele Lomellini,—hasFather—>,24073,8517f0dc-9505-4f1a-a190-1d563b1490ae,Battista Lomellini
25054,38b16e7f-a42d-49fa-90be-52b791093084,Raffaele Lomellini q. Francesco,Raffaele Lomellini,—hasFather—>,24350,fb4b3ae3-d554-4b13-a9b5-5eedcaa0cdd7,Francesco Lomellini
25047,13df1438-10dc-417e-91c6-0574783e7b9e,Raffaele Lomellini q. Giovanni,Raffaele Lomellini,—hasFather—>,24534,413d03f2-0dfb-49a7-b641-4839151643e5,Giovanni Lomellini
25049,155fbf1c-b161-4894-bc49-6febecff6e07,Raffaele Lomellini q. Imperiale,Raffaele Lomellini,—hasFather—>,24626,1d9ee6d9-3ff6-4097-91e7-3bb10ec6c423,Imperiale Lomellini
25044,69b7059d-22d1-49f7-8a45-12e25b609cac,Raffaele Lomellini q. Lanfranco,Raffaele Lomellini,—hasFather—>,24647,bf20aa3c-4bd2-4e3b-9305-84697b43c180,Lanfranco Lomellini
25045,1d161564-0a06-45c2-aae8-540ca402db6b,Raffaele Lomellini q. Niccolò,Raffaele Lomellini,—hasFather—>,24877,743da6cc-b96f-4bb5-93bb-7acad119fea3,Niccolò Lomellini
25051,c334a182-3708-4cd2-9429-0619286413d6,Raffaele Lomellini q. Pietro,Raffaele Lomellini,—hasFather—>,25031,71dadfd3-dc97-491a-ad5c-9f7bea6c5c8f,Pietro Lomellini
25053,928525e5-a798-4ad6-8701-e3f1de7c2332,Raffaele Lomellini q. Teramo,Raffaele Lomellini,—hasFather—>,25148,e209ea61-8df8-40e1-9e1b-8c8868e22afb,Teramo Lomellini
25046,27c94880-6804-4e50-8008-e2a16153cacc,Raffaele Lomellini q. Tobia,Raffaele Lomellini,—hasFather—>,25157,b642d3b4-1f30-4f3f-8e5b-936cc9def585,Tobia Lomellini
25050,e5e8cff9-bb7c-4be9-9cab-aa6b84bfe771,Raffaele Lomellini q. Tobia,Raffaele Lomellini,—hasFather—>,25160,c521d451-ab9b-4560-b59f-97e45a67b842,Tobia Lomellini
25052,58f2223d-e4b4-4129-b3ef-f877adbe2557,Raffaele Lomellini q. Vincenzo,Raffaele Lomellini,—hasFather—>,25205,69821a7b-3cd3-4ceb-9ba8-b6f8422213e2,Vincenzo Lomellini
