cidoc-crm:P143_joined,targetID,edgeHusband,omeka-SRCID,cidoc-crm:P149_is_identified_by,targetName
25790,0998eb2e-7d37-466e-bf76-3b5422f304c7,—marriedTo—>,25075,418eb200-0ba8-423e-b3f9-69939a2d8aed,
23749,09f088f8-d2d2-4f16-8011-139efe196cde,—marriedTo—>,25065,138b4504-2a49-4080-9290-0e1d797fee81,
24665,0a81a30b-401f-47f7-9994-3b8bec3cbdec,—marriedTo—>,23006,5163e067-524c-45ad-a311-0f948f694f44,
23906,0aa4ef3b-5395-4f4a-8fb2-8647be354cf2,—marriedTo—>,23707,87170d7a-1342-485b-9297-69da1fe08d71,
24546,0af0667b-7877-4176-abba-0d28e83bb3c3,—marriedTo—>,25399,faffebcb-1164-43b0-8c1b-4943cfc1e81b,
24750,0b0d213c-6bb2-4c46-a633-4fd6765ef39f,—marriedTo—>,25513,19596029-8291-4295-aa85-9174c2c98da4,
24040,0b5416c1-3ecd-4b5f-9578-423d41ecb2d5,—marriedTo—>,23716,fdb61d25-5ed0-4327-998e-1d9e54be6bef,
24040,0b5416c1-3ecd-4b5f-9578-423d41ecb2d5,—marriedTo—>,23047,243792ab-5108-4d50-9dfd-0d3a2223c956,
25244,0c5b8fe1-9800-4b16-8d4a-3e7d7b5c1cd7,—marriedTo—>,24728,b2bfc62c-03a0-4f27-b1ee-3fe114a13ae2,
23860,0c6819de-99d5-403a-b1b4-7c9ac910b088,—marriedTo—>,24585,f4ce9770-2431-4f40-8a2f-3cae3fb939af,
23701,0c8b8c1e-439d-4bb8-b1ac-08c103144238,—marriedTo—>,25132,949723de-b8e9-4bb9-9808-fa4ae5f486b1,
25158,0d1b8ba8-8963-4870-89f3-b91fbfb5c9bd,—marriedTo—>,23040,960e91f9-75e8-4419-a600-d5e54db80ffc,
23089,0d906b2d-4578-4c6c-bdd8-97f49cf73d60,—marriedTo—>,23193,b163a22e-1207-4730-aae3-ce1cee7fb75f,
24675,0dad2a2d-c0ed-429d-ad53-f2a0eac22140,—marriedTo—>,25290,f2f24b15-3464-4d2d-984b-c9c30a72f8ba,
23336,0dbacfc1-072c-4663-8339-9d9ab5328ed4,—marriedTo—>,24821,9b8c2cb3-3a34-487d-9eb5-d8da4a017a1f,
23323,0e57ff3e-785f-4c02-a589-f10e1efd3279,—marriedTo—>,23868,8de135e8-9786-40ed-b638-182c9012f2ec,
25654,0e95fa5c-64b5-48d6-95da-a4d59138f8c3,—marriedTo—>,24900,792447de-2dcd-4f77-97d0-0391fed3f2df,
