sourceID,sourceName,edge,targetID,targetName,targetReference,targetDate
4102608c-786e-474e-aae9-88b8c8385f2c,Cita —,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1446-01-25
b167b2a6-43ef-452a-ba0c-f70ed716ada8,Matteo —,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1446-01-25
0b508650-d009-4392-9fd9-16ff3c3caa74,Antonio —,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1446-01-25
b1e6c281-4dba-4091-a5e4-a487ec882748,Battista Carleto,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1446-01-25
e4632609-64cd-4555-8ca8-1f0d54ec9676,Giovanni de Delfino da Passano,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1446-01-25
356cfe52-2abf-4ae9-a01a-878ff9945a29,Gottardo Stella,—inDocument—>,6cd58a83-e6bb-4d19-a373-4d869289e582,"Andrea de Cairo, filza 4, nr. 163",,
f2a83931-a87b-4195-bb96-68662b02f072,Anna —,—inDocument—>,6cd58a83-e6bb-4d19-a373-4d869289e582,"Andrea de Cairo, filza 4, nr. 163",,
eb95753d-35c6-4ee5-b655-b463f0ecf58e,Giorgio Veglio,—inDocument—>,6cd58a83-e6bb-4d19-a373-4d869289e582,"Andrea de Cairo, filza 4, nr. 163",,
356cfe52-2abf-4ae9-a01a-878ff9945a29,Gottardo Stella,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1448-07-11
f2a83931-a87b-4195-bb96-68662b02f072,Anna —,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1448-07-11
eb95753d-35c6-4ee5-b655-b463f0ecf58e,Giorgio Veglio,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1448-07-11
eb95753d-35c6-4ee5-b655-b463f0ecf58e,Giorgio Veglio,—atPlace—>,faf0a8ef-e700-4caf-bf55-421ccba2f3a8,Ibiza,,
